Cycle,Time,XT,RER,H3,EE in cal/min,EE cal/min/kg lbm,VO2(3),VCO2(3),VO2 norm,VCO2 norm,Gox,Lox,Gox normalized,Lox normalized
night1,19:06,102,0.962,0.533,8.883333333,367.0798898,107,103,4421.487603,4256.198347,156.22,6.68,6455.371901,276.0330579
night1,19:15,165,0.972,0.515,8.583333333,354.6831956,103,100,4256.198347,4132.231405,147.65,5.01,6101.239669,207.0247934
night1,19:24,172,0.964,0.463,7.716666667,318.8705234,92,89,3801.652893,3677.68595,132.91,5.01,5492.14876,207.0247934
night1,19:33,1183,0.975,0.513,8.55,353.3057851,102,100,4214.876033,4132.231405,143.1,3.34,5913.22314,138.0165289
night1,19:42,1559,0.971,0.637,10.61666667,438.7052343,127,123,5247.933884,5082.644628,183.02,6.68,7562.809917,276.0330579
night1,19:51,673,0.976,0.631,10.51666667,434.5730029,126,123,5206.61157,5082.644628,178.47,5.01,7374.793388,207.0247934
night1,20:00,1096,0.948,0.603,10.05,415.2892562,121,115,5000,4752.066116,181.4,10.02,7495.867769,414.0495868
night1,20:09,1308,0.922,0.641,10.68333333,441.460055,129,119,5330.578512,4917.355372,204.96,16.7,8469.421488,690.0826446
night1,20:18,724,0.878,0.646,10.76666667,444.9035814,132,116,5454.545455,4793.38843,228.24,26.72,9431.404959,1104.132231
night1,20:27,1653,0.886,0.609,10.15,419.4214876,124,110,5123.966942,4545.454545,211.1,23.38,8723.140496,966.1157025
night1,20:36,542,0.871,0.591,9.85,407.0247934,120,105,4958.677686,4338.842975,208.95,25.05,8634.297521,1035.123967
night1,20:45,1335,0.863,0.61,10.16666667,420.110193,125,108,5165.289256,4462.809917,222.07,28.39,9176.446281,1173.140496
night1,20:54,1300,0.879,0.642,10.7,442.1487603,131,115,5413.22314,4752.066116,226.9,26.72,9376.033058,1104.132231
night1,21:03,818,0.865,0.629,10.48333333,433.1955921,128,111,5289.256198,4586.77686,226.09,28.39,9342.561983,1173.140496
night1,21:12,1228,0.859,0.616,10.26666667,424.2424244,126,108,5206.61157,4462.809917,226.62,30.06,9364.46281,1242.14876
night1,21:21,836,0.838,0.605,10.08333333,416.6666665,124,104,5123.966942,4297.520661,230.36,33.4,9519.008264,1380.165289
night1,21:30,1230,0.831,0.58,9.666666667,399.4490358,119,99,4917.355372,4090.909091,223.66,33.4,9242.14876,1380.165289
night1,21:39,845,0.804,0.595,9.916666667,409.7796143,123,99,5082.644628,4090.909091,241.86,40.08,9994.214876,1656.198347
night1,21:48,381,0.784,0.561,9.35,386.3636364,117,91,4834.710744,3760.330579,240.24,43.42,9927.272727,1794.214876
night1,21:57,1002,0.805,0.572,9.533333333,393.9393939,118,95,4876.033058,3925.619835,231.95,38.41,9584.710744,1587.190083
night1,22:06,319,0.813,0.574,9.566666667,395.3168044,119,96,4917.355372,3966.942149,233.29,38.41,9640.082645,1587.190083
night1,22:15,414,0.857,0.59,9.833333333,406.3360881,121,103,5000,4256.198347,219.92,30.06,9087.603306,1242.14876
night1,22:24,1022,0.883,0.578,9.633333333,398.0716253,118,104,4876.033058,4297.520661,203.06,23.38,8390.909091,966.1157025
